enroll_id,student_id,course_id,enroll_date,status
1012,4.0,502.0,2025-07-04,Completed
1038,3.0,501.0,2025-07-20,Active
1041,1.0,501.0,2025-07-23,Droped
1011,5.0,501.0,2025-07-18,Completed
1023,4.0,502.0,2025-07-12,Completed
1031,1.0,501.0,2025-07-22,Active
1026,5.0,503.0,2025-07-19,Completed
1006,5.0,503.0,2025-07-07,Completed
1035,1.0,503.0,2025-07-29,Droped
1042,2.0,502.0,2025-07-10,Completed
1027,2.0,503.0,2025-07-01,Active
1007,3.0,503.0,2025-07-30,Active
1021,3.0,502.0,2025-07-21,Completed
1002,2.0,502.0,2025-07-21,Droped
1022,2.0,503.0,2025-07-11,Completed
1045,1.0,503.0,2025-07-27,Active
1028,5.0,502.0,2025-07-10,Completed
1043,3.0,502.0,2025-07-30,Completed
1033,2.0,501.0,2025-07-27,Completed
1009,3.0,502.0,2025-07-05,Droped
1020,6.0,501.0,2025-07-13,Completed
1014,5.0,503.0,2025-07-30,Completed
1019,4.0,502.0,2025-07-30,Completed
1034,3.0,501.0,2025-07-22,Completed
1017,3.0,502.0,2025-07-10,Completed
1029,5.0,502.0,2025-07-02,Active
1030,1.0,503.0,2025-07-01,Completed
1004,6.0,502.0,2025-07-23,Completed
1008,2.0,503.0,2025-07-27,Active
1016,1.0,501.0,2025-07-24,Droped
1024,1.0,502.0,2025-07-14,Active
1047,3.0,502.0,2025-07-03,Completed
1050,4.0,503.0,2025-07-28,Completed
