enroll_id,student_id,course_id,enroll_date,status
1001,1,501,10-07-2024,Completed
1002,2,501,12-07-2024,Active
1003,3,502,14-07-2024,Droped
1004,4,502,15-07-2024,
1005,,503,15-07-2024,Completed
1006,6,503,,Active
1007,7,504,17-07-2024,Droped
1008,8,504,17-07-2024,Completed
1009,9,505,18-07-2024,Active
1010,10,505,18-07-2024,Active
1011,11,506,,Droped
1012,12,506,19-07-2024,Completed
1013,13,507,20-07-2024,Completed
1014,14,507,21-07-2024,Active
1015,15,508,22-07-2024,Completed
1016,16,508,23-07-2024,Active
1017,17,509,24-07-2024,Active
1018,18,509,24-07-2024,Droped
1019,19,510,,Completed
1020,20,510,25-07-2024,Active
1021,21,511,25-07-2024,Droped
1022,22,511,25-07-2024,Droped
1023,23,512,27-07-2024,Completed
1024,24,512,27-07-2024,Completed
1025,25,513,28-07-2024,Completed
1026,26,513,28-07-2024,Completed
1027,27,514,29-07-2024,
1028,28,514,30-07-2024,Active
1029,29,515,01-08-2024,Completed
1030,30,515,,Completed
1031,31,501,01-08-2024,Active
1032,32,502,02-08-2024,Droped
1033,33,503,02-08-2024,Active
1034,34,504,03-08-2024,Active
1035,35,505,03-08-2024,Completed
1036,36,506,03-08-2024,Active
1037,37,507,03-08-2024,
