progress_id,enroll_id,modules_completed,last_update
2001,1001,4,21-07-2024
2002,1002,2,14-07-2024
2003,1003,,15-07-2024
2004,1004,3,16-07-2024
2005,1005,5,17-07-2024
2006,1006,4,18-07-2024
2007,1007,1,
2008,1008,5,19-07-2024
2009,1009,4,20-07-2024
2010,1010,6,20-07-2024
2011,,2,21-07-2024
2012,1012,8,22-07-2024
2013,1013,4,
2014,1014,,23-07-2024
2015,1015,6,24-07-2024
2016,1016,4,25-07-2024
2017,1017,3,25-07-2024
2018,1018,2,26-07-2024
2019,1019,7,27-07-2024
2020,1020,5,27-07-2024
2021,1021,1,27-07-2024
2022,1022,,27-07-2024
2023,1023,5,29-07-2024
2024,1024,3,29-07-2024
2025,1025,6,30-07-2024
2026,1026,2,30-07-2024
2027,1027,2,
2028,1028,2,31-07-2024
2029,1029,4,02-08-2024
2030,1030,5,02-08-2024
2031,1031,1,02-08-2024
2032,1032,3,03-08-2024
2033,1033,2,03-08-2024
2034,1034,2,
2035,1035,6,03-08-2024
2036,1036,,03-08-2024
2037,1037,2,03-08-2024
